ceeps	keeps
yi	i
whay	why
relanch	relaunch
utube	youtube
yall	your
im	i am
coudnt	could not
freez	freeze
emailboxes	email box
emailbox	email box
usrnm	user
d/l	dlink
iexplore	internet explorer
ie8	ie 8
rember	remember
wizz	whiz
windowsxp	windows xp
wserver	windows server
wvista	windows vista
employeeid	employee id
ppoint	power point
exch	exchange
adre	address
syn	sync
mozila	mozilla
bil	bit
permently	permanently
pwrptt	ppt
classrm	classroom
vbasic	vb
avlookup	a vlookup
autodate	auto date
noe	no
lgest	largest
bt	bit
mone	none
passw	password
ieexplorer	internet explorer
crome	chrome
msdnaa	msdn
msdna	msdn
traing	training
mager	manager
manger	manager
belvue	bellevue
infor	information
angele	angeles
accnt	account
onwing	owning
